Date,Open,High,Low,Close
05/06/2021,4169.14 ,4202.70 ,4147.33 ,4201.62 
05/05/2021,4177.06 ,4187.72 ,4160.94 ,4167.59 
05/04/2021,4179.04 ,4179.04 ,4128.59 ,4164.66 
05/03/2021,4191.98 ,4209.39 ,4188.03 ,4192.66 
04/30/2021,4198.10 ,4198.10 ,4174.85 ,4181.17 
04/29/2021,4206.14 ,4218.78 ,4176.81 ,4211.47 
04/28/2021,4185.14 ,4201.53 ,4181.78 ,4183.18 
04/27/2021,4188.25 ,4193.35 ,4176.22 ,4186.72 
04/26/2021,4185.03 ,4194.19 ,4182.36 ,4187.62 
04/23/2021,4138.78 ,4194.17 ,4138.78 ,4180.17 
04/22/2021,4170.46 ,4179.57 ,4123.69 ,4134.98 
04/21/2021,4128.42 ,4175.02 ,4126.35 ,4173.42 
04/20/2021,4159.18 ,4159.18 ,4118.38 ,4134.94 
04/19/2021,4179.80 ,4180.81 ,4150.47 ,4163.26 
04/16/2021,4174.14 ,4191.31 ,4170.75 ,4185.47 
04/15/2021,4139.76 ,4173.49 ,4139.76 ,4170.42 
04/14/2021,4141.58 ,4151.69 ,4120.87 ,4124.66 
04/13/2021,4130.10 ,4148.00 ,4124.43 ,4141.59 
04/12/2021,4124.71 ,4131.76 ,4114.82 ,4127.99 
04/09/2021,4096.11 ,4129.48 ,4095.51 ,4128.80 
04/08/2021,4089.95 ,4098.19 ,4082.54 ,4097.17 
04/07/2021,4074.29 ,4083.13 ,4068.31 ,4079.95 
04/06/2021,4075.57 ,4086.23 ,4068.14 ,4073.94 
04/05/2021,4034.44 ,4083.42 ,4034.44 ,4077.91 
04/01/2021,3992.78 ,4020.63 ,3992.78 ,4019.87 
03/31/2021,3967.25 ,3994.41 ,3966.98 ,3972.89 
03/30/2021,3963.34 ,3968.01 ,3944.35 ,3958.55 
03/29/2021,3969.31 ,3981.83 ,3943.25 ,3971.09 
03/26/2021,3917.12 ,3978.19 ,3917.12 ,3974.54 
03/25/2021,3879.34 ,3919.54 ,3853.50 ,3909.52 
03/24/2021,3919.93 ,3942.08 ,3889.07 ,3889.14 
03/23/2021,3937.60 ,3949.13 ,3901.57 ,3910.52 
03/22/2021,3916.48 ,3955.31 ,3914.16 ,3940.59 
03/19/2021,3913.14 ,3930.12 ,3886.75 ,3913.10 
03/18/2021,3953.50 ,3969.62 ,3910.86 ,3915.46 
03/17/2021,3949.57 ,3983.87 ,3935.74 ,3974.12 
03/16/2021,3973.59 ,3981.04 ,3953.44 ,3962.71 
03/15/2021,3942.96 ,3970.08 ,3923.54 ,3968.94 
03/12/2021,3924.52 ,3944.99 ,3915.21 ,3943.34 
03/11/2021,3915.54 ,3960.27 ,3915.54 ,3939.34 
03/10/2021,3891.99 ,3917.35 ,3885.73 ,3898.81 
03/09/2021,3851.93 ,3903.76 ,3851.93 ,3875.44 
03/08/2021,3844.39 ,3881.06 ,3819.25 ,3821.35 
03/05/2021,3793.58 ,3851.69 ,3730.19 ,3841.94 
03/04/2021,3818.53 ,3843.67 ,3723.34 ,3768.47 
03/03/2021,3863.99 ,3874.47 ,3818.86 ,3819.72 
03/02/2021,3903.64 ,3906.41 ,3868.57 ,3870.29 
03/01/2021,3842.51 ,3914.50 ,3842.51 ,3901.82 
02/26/2021,3839.66 ,3861.08 ,3789.54 ,3811.15 
02/25/2021,3915.80 ,3925.02 ,3814.04 ,3829.34 
02/24/2021,3873.71 ,3928.65 ,3859.60 ,3925.43 
02/23/2021,3857.07 ,3895.98 ,3805.59 ,3881.37 
02/22/2021,3885.55 ,3902.92 ,3874.71 ,3876.50 
02/19/2021,3921.16 ,3930.41 ,3903.07 ,3906.71 
02/18/2021,3915.86 ,3921.98 ,3885.03 ,3913.97 
02/17/2021,3918.50 ,3933.61 ,3900.43 ,3931.33 
02/16/2021,3939.61 ,3950.43 ,3923.85 ,3932.59 
02/12/2021,3911.65 ,3937.23 ,3905.78 ,3934.83 
02/11/2021,3916.40 ,3925.99 ,3890.39 ,3916.38 
02/10/2021,3920.78 ,3931.50 ,3884.94 ,3909.88 
02/09/2021,3910.49 ,3918.35 ,3902.64 ,3911.23 
02/08/2021,3892.59 ,3915.77 ,3892.59 ,3915.59 
02/05/2021,3878.30 ,3894.56 ,3874.93 ,3886.83 
02/04/2021,3836.66 ,3872.42 ,3836.66 ,3871.74 
02/03/2021,3840.27 ,3847.51 ,3816.68 ,3830.17 
02/02/2021,3791.84 ,3843.09 ,3791.84 ,3826.31 
02/01/2021,3731.17 ,3784.32 ,3725.62 ,3773.86 
01/29/2021,3778.05 ,3778.05 ,3694.12 ,3714.24 
01/28/2021,3755.75 ,3830.50 ,3755.75 ,3787.38 
01/27/2021,3836.83 ,3836.83 ,3732.48 ,3750.77 
01/26/2021,3862.96 ,3870.90 ,3847.78 ,3849.62 
01/25/2021,3851.68 ,3859.23 ,3797.16 ,3855.36 
01/22/2021,3844.24 ,3852.31 ,3830.41 ,3841.47 
01/21/2021,3857.46 ,3861.45 ,3845.05 ,3853.07 
01/20/2021,3816.22 ,3859.75 ,3816.22 ,3851.85 
01/19/2021,3781.88 ,3804.53 ,3780.37 ,3798.91 
01/15/2021,3788.73 ,3788.73 ,3749.62 ,3768.25 
01/14/2021,3814.98 ,3823.60 ,3792.86 ,3795.54 
01/13/2021,3802.23 ,3820.96 ,3791.50 ,3809.84 
01/12/2021,3801.62 ,3810.78 ,3776.51 ,3801.19 
01/11/2021,3803.14 ,3817.86 ,3789.02 ,3799.61 
01/08/2021,3815.05 ,3826.69 ,3783.60 ,3824.68 
01/07/2021,3764.71 ,3811.55 ,3764.71 ,3803.79 
01/06/2021,3712.20 ,3783.04 ,3705.34 ,3748.14 
01/05/2021,3698.02 ,3737.83 ,3695.07 ,3726.86 
01/04/2021,3764.61 ,3769.99 ,3662.71 ,3700.65 
12/31/2020,3733.27 ,3760.20 ,3726.88 ,3756.07 
12/30/2020,3736.19 ,3744.63 ,3730.21 ,3732.04 
12/29/2020,3750.01 ,3756.12 ,3723.31 ,3727.04 
12/28/2020,3723.03 ,3740.51 ,3723.03 ,3735.36 
12/24/2020,3694.03 ,3703.82 ,3689.32 ,3703.06 
12/23/2020,3693.42 ,3711.24 ,3689.28 ,3690.01 
12/22/2020,3698.08 ,3698.26 ,3676.16 ,3687.26 
12/21/2020,3684.28 ,3702.90 ,3636.48 ,3694.92 
12/18/2020,3722.39 ,3726.70 ,3685.84 ,3709.41 
12/17/2020,3713.65 ,3725.12 ,3710.87 ,3722.48 
12/16/2020,3696.25 ,3711.27 ,3688.57 ,3701.17 
12/15/2020,3666.41 ,3695.29 ,3659.62 ,3694.62 
12/14/2020,3675.27 ,3697.61 ,3645.84 ,3647.49 
12/11/2020,3656.08 ,3665.91 ,3633.40 ,3663.46 
12/10/2020,3659.13 ,3678.49 ,3645.18 ,3668.10 
12/09/2020,3705.98 ,3712.39 ,3660.54 ,3672.82 
12/08/2020,3683.05 ,3708.45 ,3678.83 ,3702.25 
12/07/2020,3694.73 ,3697.41 ,3678.88 ,3691.96 
12/04/2020,3670.94 ,3699.20 ,3670.94 ,3699.12 
12/03/2020,3668.28 ,3682.73 ,3657.17 ,3666.72 
12/02/2020,3653.78 ,3670.96 ,3644.84 ,3669.01 
12/01/2020,3645.87 ,3678.45 ,3645.87 ,3662.45 
11/30/2020,3634.18 ,3634.18 ,3594.39 ,3621.63 
11/27/2020,3638.55 ,3644.31 ,3629.33 ,3638.35 
11/25/2020,3635.50 ,3635.50 ,3617.76 ,3629.65 
11/24/2020,3594.52 ,3642.31 ,3594.52 ,3635.41 
11/23/2020,3566.82 ,3589.81 ,3552.77 ,3577.59 
11/20/2020,3579.31 ,3581.23 ,3556.85 ,3557.54 
11/19/2020,3559.41 ,3585.22 ,3543.84 ,3581.87 
11/18/2020,3612.09 ,3619.09 ,3567.33 ,3567.79 
11/17/2020,3610.31 ,3623.11 ,3588.68 ,3609.53 
11/16/2020,3600.16 ,3628.51 ,3600.16 ,3626.91 
11/13/2020,3552.57 ,3593.66 ,3552.57 ,3585.15 
11/12/2020,3562.67 ,3569.02 ,3518.58 ,3537.01 
11/11/2020,3563.22 ,3581.16 ,3557.00 ,3572.66 
11/10/2020,3543.26 ,3557.22 ,3511.91 ,3545.53 
11/09/2020,3583.04 ,3645.99 ,3547.48 ,3550.50 
11/06/2020,3508.34 ,3521.58 ,3484.34 ,3509.44 
11/05/2020,3485.74 ,3529.05 ,3485.74 ,3510.45 
11/04/2020,3406.46 ,3486.25 ,3405.17 ,3443.44 
11/03/2020,3336.25 ,3389.49 ,3336.25 ,3369.16 
11/02/2020,3296.20 ,3330.14 ,3279.74 ,3310.24 
10/30/2020,3293.59 ,3304.93 ,3233.94 ,3269.96 
10/29/2020,3277.17 ,3341.05 ,3259.82 ,3310.11 
10/28/2020,3342.48 ,3342.48 ,3268.89 ,3271.03 
10/27/2020,3403.15 ,3409.51 ,3388.71 ,3390.68 
10/26/2020,3441.42 ,3441.42 ,3364.86 ,3400.97 
10/23/2020,3464.90 ,3466.46 ,3440.45 ,3465.39 
10/22/2020,3438.50 ,3460.53 ,3415.34 ,3453.49 
10/21/2020,3439.91 ,3464.86 ,3433.06 ,3435.56 
10/20/2020,3439.38 ,3476.93 ,3435.65 ,3443.12 
10/19/2020,3493.66 ,3502.42 ,3419.93 ,3426.92 
10/16/2020,3493.50 ,3515.76 ,3480.45 ,3483.81 
10/15/2020,3453.72 ,3489.08 ,3440.89 ,3483.34 
10/14/2020,3515.47 ,3527.94 ,3480.55 ,3488.67 
10/13/2020,3534.01 ,3534.01 ,3500.86 ,3511.93 
10/12/2020,3500.02 ,3549.85 ,3499.61 ,3534.22 
10/09/2020,3459.67 ,3482.34 ,3458.07 ,3477.13 
10/08/2020,3434.28 ,3447.28 ,3428.15 ,3446.83 
10/07/2020,3384.56 ,3426.26 ,3384.56 ,3419.45 
10/06/2020,3408.74 ,3431.56 ,3354.54 ,3360.95 
10/05/2020,3367.27 ,3409.57 ,3367.27 ,3408.63 
10/02/2020,3338.94 ,3369.10 ,3323.69 ,3348.44 
10/01/2020,3385.87 ,3397.18 ,3361.39 ,3380.80 
09/30/2020,3341.21 ,3393.56 ,3340.47 ,3363.00 
09/29/2020,3350.92 ,3357.92 ,3327.54 ,3335.47 
09/28/2020,3333.90 ,3360.74 ,3332.91 ,3351.60 
09/25/2020,3236.66 ,3306.88 ,3228.44 ,3298.46 
09/24/2020,3226.14 ,3278.70 ,3209.45 ,3246.59 
09/23/2020,3320.11 ,3323.35 ,3232.57 ,3236.92 
09/22/2020,3295.75 ,3320.31 ,3270.95 ,3315.57 
09/21/2020,3285.57 ,3285.57 ,3229.10 ,3281.06 
09/18/2020,3357.38 ,3362.27 ,3292.40 ,3319.47 
09/17/2020,3346.86 ,3375.17 ,3328.82 ,3357.01 
09/16/2020,3411.23 ,3428.92 ,3384.45 ,3385.49 
09/15/2020,3407.73 ,3419.48 ,3389.25 ,3401.20 
09/14/2020,3363.56 ,3402.93 ,3363.56 ,3383.54 
09/11/2020,3352.70 ,3368.95 ,3310.47 ,3340.97 
09/10/2020,3412.56 ,3425.55 ,3329.25 ,3339.19 
09/09/2020,3369.82 ,3424.77 ,3366.84 ,3398.96 
09/08/2020,3371.88 ,3379.97 ,3329.27 ,3331.84 
09/04/2020,3453.60 ,3479.15 ,3349.63 ,3426.96 
09/03/2020,3564.74 ,3564.85 ,3427.41 ,3455.06 
09/02/2020,3543.76 ,3588.11 ,3535.23 ,3580.84 
09/01/2020,3507.44 ,3528.03 ,3494.60 ,3526.65 
08/31/2020,3509.73 ,3514.77 ,3493.25 ,3500.31 
08/28/2020,3494.69 ,3509.23 ,3484.32 ,3508.01 
08/27/2020,3485.14 ,3501.38 ,3468.35 ,3484.55 
08/26/2020,3449.97 ,3481.07 ,3444.15 ,3478.73 
08/25/2020,3435.95 ,3444.21 ,3425.84 ,3443.62 
08/24/2020,3418.09 ,3432.09 ,3413.13 ,3431.28 
08/21/2020,3386.01 ,3399.96 ,3379.31 ,3397.16 
08/20/2020,3360.48 ,3390.80 ,3354.69 ,3385.51 
08/19/2020,3392.51 ,3399.54 ,3369.66 ,3374.85 
08/18/2020,3387.04 ,3395.06 ,3370.15 ,3389.78 
08/17/2020,3380.86 ,3387.59 ,3379.22 ,3381.99 
08/14/2020,3368.66 ,3378.51 ,3361.64 ,3372.85 
08/13/2020,3372.95 ,3387.24 ,3363.35 ,3373.43 
08/12/2020,3355.46 ,3387.89 ,3355.46 ,3380.35 
08/11/2020,3370.34 ,3381.01 ,3326.44 ,3333.69 
08/10/2020,3356.04 ,3363.29 ,3335.44 ,3360.47 
08/07/2020,3340.05 ,3352.54 ,3328.72 ,3351.28 
08/06/2020,3323.17 ,3351.03 ,3318.14 ,3349.16 
08/05/2020,3317.37 ,3330.77 ,3317.37 ,3327.77 
08/04/2020,3289.92 ,3306.84 ,3286.37 ,3306.51 
08/03/2020,3288.26 ,3302.73 ,3284.53 ,3294.61 
07/31/2020,3270.45 ,3272.17 ,3220.26 ,3271.12 
07/30/2020,3231.76 ,3250.92 ,3204.13 ,3246.22 
07/29/2020,3227.22 ,3264.74 ,3227.22 ,3258.44 
07/28/2020,3234.27 ,3243.72 ,3216.17 ,3218.44 
07/27/2020,3219.84 ,3241.43 ,3214.25 ,3239.41 
07/24/2020,3218.58 ,3227.26 ,3200.05 ,3215.63 
07/23/2020,3271.64 ,3279.99 ,3222.66 ,3235.66 
07/22/2020,3254.86 ,3279.32 ,3253.10 ,3276.02 
07/21/2020,3268.52 ,3277.29 ,3247.77 ,3257.30 
07/20/2020,3224.29 ,3258.61 ,3215.16 ,3251.84 
07/17/2020,3224.21 ,3233.52 ,3205.65 ,3224.73 
07/16/2020,3208.36 ,3220.39 ,3198.59 ,3215.57 
07/15/2020,3225.98 ,3238.28 ,3200.76 ,3226.56 
07/14/2020,3141.11 ,3200.95 ,3127.66 ,3197.52 
07/13/2020,3205.08 ,3235.32 ,3149.43 ,3155.22 
07/10/2020,3152.47 ,3186.82 ,3136.22 ,3185.04 
07/09/2020,3176.17 ,3179.78 ,3115.70 ,3152.05 
07/08/2020,3153.07 ,3171.80 ,3136.53 ,3169.94 
07/07/2020,3166.44 ,3184.15 ,3142.93 ,3145.32 
07/06/2020,3155.29 ,3182.59 ,3155.29 ,3179.72 
07/02/2020,3143.64 ,3165.81 ,3124.52 ,3130.01 
07/01/2020,3105.92 ,3128.44 ,3101.17 ,3115.86 
06/30/2020,3050.20 ,3111.51 ,3047.83 ,3100.29 
06/29/2020,3018.59 ,3053.89 ,2999.74 ,3053.24 
06/26/2020,3073.20 ,3073.73 ,3004.63 ,3009.05 
06/25/2020,3046.60 ,3086.25 ,3024.01 ,3083.76 
06/24/2020,3114.40 ,3115.01 ,3032.13 ,3050.33 
06/23/2020,3138.70 ,3154.90 ,3127.12 ,3131.29 
06/22/2020,3094.42 ,3120.92 ,3079.39 ,3117.86 
06/19/2020,3140.29 ,3155.53 ,3083.11 ,3097.74 
06/18/2020,3101.64 ,3120.00 ,3093.51 ,3115.34 
06/17/2020,3136.13 ,3141.16 ,3108.03 ,3113.49 
06/16/2020,3131.00 ,3153.45 ,3076.06 ,3124.74 
06/15/2020,2993.76 ,3079.76 ,2965.66 ,3066.59 
06/12/2020,3071.04 ,3088.42 ,2984.47 ,3041.31 
06/11/2020,3123.53 ,3123.53 ,2999.49 ,3002.10 
06/10/2020,3213.42 ,3223.27 ,3181.49 ,3190.14 
06/09/2020,3213.32 ,3222.71 ,3193.11 ,3207.18 
06/08/2020,3199.92 ,3233.13 ,3196.00 ,3232.39 
06/05/2020,3163.84 ,3211.72 ,3163.84 ,3193.93 
06/04/2020,3111.56 ,3128.91 ,3090.41 ,3112.35 
06/03/2020,3098.90 ,3130.94 ,3098.90 ,3122.87 
06/02/2020,3064.78 ,3081.07 ,3051.64 ,3080.82 
06/01/2020,3038.78 ,3062.18 ,3031.54 ,3055.73 
05/29/2020,3025.17 ,3049.17 ,2998.61 ,3044.31 
05/28/2020,3046.61 ,3068.67 ,3023.40 ,3029.73 
05/27/2020,3015.65 ,3036.25 ,2969.75 ,3036.13 
05/26/2020,3004.08 ,3021.72 ,2988.17 ,2991.77 
05/22/2020,2948.05 ,2956.76 ,2933.59 ,2955.45 
05/21/2020,2969.95 ,2978.50 ,2938.57 ,2948.51 
05/20/2020,2953.63 ,2980.29 ,2953.63 ,2971.61 
05/19/2020,2948.59 ,2964.21 ,2922.35 ,2922.94 
05/18/2020,2913.86 ,2968.09 ,2913.86 ,2953.91 
05/15/2020,2829.95 ,2865.01 ,2816.78 ,2863.70 
05/14/2020,2794.54 ,2852.80 ,2766.64 ,2852.50 
05/13/2020,2865.86 ,2874.14 ,2793.15 ,2820.00 
05/12/2020,2939.50 ,2945.82 ,2869.59 ,2870.12 
05/11/2020,2915.46 ,2944.25 ,2903.44 ,2930.32 
05/08/2020,2908.83 ,2932.16 ,2902.88 ,2929.80 
05/07/2020,2878.26 ,2901.92 ,2876.48 ,2881.19 
05/06/2020,2883.14 ,2891.11 ,2847.65 ,2848.42 
